player_id	name	POS	AGE	NBA	FPts/Gp	GPp	BASE	Δw	Δw '26–'27 ours	sheet_pts	Win$	Sheet$	Board$	Market$	Max$	flag
2904	Cameron Boozer	PF/C	19.2	MEM	35.5	72	6655	1.45	0.85		736	0	2126	197		'26 class
2864	Caleb Wilson	SF/PF	20.2	CHI	30.4	72	3819	1.03	0.42		520	0	1216	197		'26 class
2883	AJ Dybantsa	SF/PF	19.7	WAS	28.9	72	5079	0.91	0.34		458	0	1620	197		'26 class
2919	Darryn Peterson	PG/SG	19.7	UTA	29.5	68	5353	0.91	0.27		458	0	1708	197		'26 class
2895	Darius Acuff	PG/SG	19.9	SAC	28.0	72	2640	0.84	0.10		422	0	838	197		'26 class
2886	Keaton Wagler	PG/SG	19.6	LAC	25.7	72	2530	0.66	0.03		330	0	803	197		'26 class
2884	Yaxel Lendeborg	SF/PF	24.0	GSW	25.0	72	1226	0.62	0.18		309	0	385	197		'26 class
2855	Mikel Brown	PG/SG	20.5	BKN	24.8	68	2443	0.57	0.07		283	0	775	197		'26 class
2871	Brayden Burries	PG/SG	21.0	MIL	22.9	71	1594	0.47	0.00		232	0	503	197		'26 class
2875	Kingston Flemings	PG/SG	19.6	ATL	20.3	62	1894	0.29	0.01		139	0	599	197		'26 class
2897	Morez Johnson	PF/C	20.7	DAL	19.7	62	1343	0.27	-0.04		129	0	423	185		'26 class
2878	Hannes Steinbach	PF/C	20.4	CHA	17.2	59	994	0.17	-0.14		77	0	311	130		'26 class
2915	Aday Mara	C	21.5	OKC	14.5	56	1071	0.10	-0.10		41	0	335	127		'26 class
2865	Dailyn Swain	SF/PF	21.2	CHI	18.9	48	893	0.18	-0.10		82	0	278	121		'26 class
2868	Ebuka Okorie	PG/SG	19.5	DET	16.7	61	925	0.16	-0.08		72	0	289	121		'26 class
2873	Nate Ament	SF/PF	19.8	MIL	18.4	62	815	0.22	-0.11		103	0	253	120		'26 class
2877	Christian Anderson	PG/SG	20.5	CHA	15.6	58	749	0.13	-0.16		57	0	232	97		'26 class
2860	Allen Graves	SF/PF	20.2	TOR	13.2	72	792	0.10	-0.08		41	0	246	97		'26 class
2890	Cameron Carr	PG/SG	21.8	LAL	16.4	58	706	0.15	-0.05		67	0	218	96		'26 class
2568	Baylor Scheierman	PG/SG	26.0	BOS	16.9	72	268	0.20	0.01	1042	93	44	78	73	110	rot0
2859	Labaron Philon	PG/SG	20.8	PHI	12.4	48	632	0.06	-0.11		21	0	195	73		'26 class
2360	Dominick Barlow	SF/PF	23.3	PHI	17.2	69	174	0.20	-0.02	1350.75	93	64	48	69	104	rot1
2269	Brandon Williams	PG/SG	26.8	GSW	14.9	73	205	0.14	-0.02	1491.75	62	73	58	65	98	miss · rot2
2903	Karim Lopez	SF/PF	19.5	MEM	13.3	48	542	0.07	-0.16		26	0	166	65		'26 class
1719	Marvin Bagley	SF/PF	27.5	DEN	15.9	66	197	0.15	0.00	1369.25	67	65	55	63	94	
2916	Bennett Stirtz	PG/SG	23.0	OKC	11.3	46	546	0.05	-0.13		15	0	167	62		'26 class
1885	Jaxson Hayes	PF/C	26.3	UTA	17.6	68	129	0.21	-0.10	1104.5	98	48	33	61		
2619	Quinten Post	C	26.5	MEM	16.2	68	202	0.17	-0.11	1066.5	77	46	57	61		rot2
1895	Goga Bitadze	PF/C	27.2	ORL	16.4	54	227	0.14	-0.10	1135.5	62	50	65	60		GPp<map
2798	Ryan Nembhard	PG/SG	23.5	CHA	13.4	50	324	0.08	-0.17	989.25	31	41	96	57	86	rot1 · GPp<map · '25 rookie
2908	Tarris Reed	C	23.1	SAS	13.9	34	475	0.05	-0.12		15	0	144	54		'26 class
2854	Joshua Jefferson	SF/PF	22.8	BKN	14.0	16	487	0.03	-0.17		5	0	148	52		'26 class
2874	Zuby Ejiofor	PF/C	22.4	ATL	12.9	34	441	0.05	-0.13		15	0	133	51		'26 class
904	Harrison Barnes	SF/PF	34.3	SAS	12.7	70	161	0.09	-0.06	1385	36	66	44	50		
2232	Dru Smith	PG/SG	28.7	MIA	10.3	72	231	0.06	-0.12	1154.75	21	52	66	47		rot2
2021	Patrick Williams	SF/PF	25.1	CHI	13.4	72	151	0.11	-0.11	1025.75	46	43	40	44		
2899	Sergio De Larrea	PG/SG	20.8	DAL	7.2	56	412	0.03	-0.15		5	0	124	44		'26 class
2079	Vít Krejčí	PG/SG	26.3	POR	13.6	64	148	0.10	-0.02	1033.75	41	44	39	43	64	rot2
2893	Alex Karaban	SF/PF	23.9	SAC	14.1	44	338	0.07	-0.17		26	0	100	43		'26 class
2900	Bruce Thornton	PG/SG	23.0	HOU	0.0	38	414	0.00	-0.19		0	0	125	43		noproj · '26 class
2792	Caleb Love	PG/SG	25.0	PHI	14.4	18	188	0.09	-0.15	829.75	36	31	52	41		rot1 · GPp<map · '25 rookie
2148	Luka Garza	C	27.7	BOS	12.9	69	107	0.09	-0.08	1187.25	36	54	26	40		rot1
2910	Jayden Quaintance	PF/C	19.2	SAS	10.0	14	390	0.01	-0.17		0	0	117	40		'26 class
217	Al Horford	PF/C	40.3	GSW	14.9	56	117	0.11	-0.06	953.5	46	39	29	39		
2471	Julian Strawther	PG/SG	24.4	DEN	13.4	68	173	0.10	-0.02	674	41	21	47	38	57	rot0
1045	Kentavious Caldwell-Pope	PG/SG	33.6	PHI	14.5	70	78	0.13	-0.05	836.75	57	31	17	36		
1880	Terance Mann	SG/SF	29.9	BKN	15.1	58	51	0.12	-0.10	1074	51	46	8	36		
2876	Henri Veesaar	C	22.5	ATL	12.5	33	321	0.04	-0.14		10	0	95	36		'26 class
2892	Koa Peat	SF/PF	19.7	PHX	7.5	44	351	0.02	-0.18		0	0	105	36		'26 class
2902	Richie Saunders	PG/SG	25.0	MEM	0.0	26	349	0.00	-0.19		0	0	104	36		noproj · '26 class
2373	Pat Spencer	PG/SG	30.2	PHX	10.9	21	148	0.05	-0.18	1071.5	15	46	39	35		rot1 · GPp<map
1571	Zach Collins	PF/C	28.8	CHI	17.0	50	140	0.14	-0.11	196.75	62	0	37	34		frag
1927	Javonte Green	PG/SG	33.2	DET	13.3	72	14	0.10	-0.10	1259.5	41	58	0	34		
2365	Simone Fontecchio	SF/PF	30.8	MIA	13.2	72	55	0.10	-0.11	1098	41	48	10	34		rot2
2880	Ryan Conwell	PG/SG	22.3	MIA	0.0	52	331	0.00	-0.19		0	0	98	34		noproj · '26 class
2688	Nae'Qwan Tomlin	SF/PF	25.8	CLE	12.8	66	109	0.09	-0.06	851.5	36	32	27	33	50	rot0
2913	Isaiah Evans	PG/SG	20.8	MIN	7.0	26	325	0.01	-0.18		0	0	96	33		'26 class
2888	Baba Miller	SF/PF	22.6	LAC	0.0	18	317	0.00	-0.19		0	0	94	32		noproj · '26 class
1704	Jarred Vanderbilt	SF/PF	27.5	LAL	13.5	68	66	0.10	-0.07	914.75	41	36	13	31		
2776	Jamir Watkins	SF/PF	25.2	WAS	14.0	52	110	0.08	-0.12	861.75	31	33	27	31		rot1 · '25 rookie
2866	Meleek Thomas	SG/SF	20.1	CLE	11.3	52	246	0.05	-0.09		15	0	71	30	45	'26 class
2683	Spencer Jones	SF/PF	25.3	DEN	8.7	70	149	0.04	-0.09	900.25	10	35	40	30		rot0
1272	D'Angelo Russell	PG/SG	30.6	MEM	14.7	43	170	0.08	-0.14	460.75	31	8	46	29		
2851	Chris Cenac	PF/C	19.6	BOS	13.4	30	244	0.04	-0.13		10	0	70	28		'26 class
2894	Emanuel Sharp	PG/SG	22.5	SAC	0.0	56	274	0.00	-0.19		0	0	80	28		noproj · '26 class
2501	Craig Porter	PG/SG	26.6	CLE	10.8	66	61	0.06	-0.07	1072	21	46	12	27		rot1
1844	Matisse Thybulle	SG/SF	29.6	LAL	16.6	56	23	0.15	-0.03	478.5	67	9	0	26		
2478	Kris Murray	SF/PF	26.1	MEM	13.5	53	45	0.08	-0.15	873.75	31	34	6	25		rot1 · GPp<map
1916	John Konchar	PG/SG	30.5	NYK	12.8	38	17	0.07	-0.13	1029	26	44	0	24		GPp<map
1758	Kenrich Williams	SG/SF	31.8	OKC	13.2	64	32	0.09	-0.10	780.75	36	28	2	23		rot2
1732	Josh Okogie	PG/SG	28.1	UTA	12.5	66	25	0.08	-0.14	914.5	31	36	0	23		rot2
2203	Trendon Watford	SG/SF	25.9	NOP	13.1	44	66	0.07	-0.14	759.5	26	27	13	23		GPp<map
1268	Tyus Jones	PG/SG	30.4	DEN	9.8	72	135	0.05	-0.06	597.75	15	16	35	23	34	
758	Jonas Valančiūnas	C	34.4	FA	15.4	57	67	0.12	-0.13	1133.75	0	50	13	22		fa · GPp<map
2389	Quenton Jackson	PG/SG	28.0	IND	13.5	38	11	0.08	-0.14	824.5	31	31	0	22		rot1 · GPp<map
1160	Clint Capela	C	32.4	HOU	11.3	51	15	0.06	-0.17	1030.5	21	44	0	22		GPp<map
1431	Guerschon Yabusele	SF/PF	30.8	FA	7.3	56	122	0.03	-0.16	825	0	31	31	22		rot1 · fa
2177	Tre Mann	PG/SG	25.6	WAS	14.3	54	65	0.09	-0.11	538.25	36	13	13	21		
2046	Nick Richards	C	28.8	MIA	14.8	49	36	0.09	-0.12	642.25	36	19	4	21		
2602	Justin Edwards	SF/PF	22.8	PHI	9.9	66	76	0.05	-0.11	768.5	15	27	16	21		rot1
2344	Jabari Walker	SF/PF	24.2	PHI	13.9	46	1	0.09	-0.11	650.25	36	20	0	20		rot1 · GPp<map
1188	Bogdan Bogdanović	PG/SG	34.1	HOU	14.0	54	95	0.09	-0.16	315.75	36	0	22	20		frag
2452	Trayce Jackson-Davis	SF/PF	26.6	TOR	13.6	56	42	0.09	-0.11	517.25	36	11	5	19		rot2
2327	Vince Williams	PG/SG/SF	26.1	FA	13.7	49	112	0.08	-0.14	772.75	0	27	28	19		rot2 · fa
1297	Cameron Payne	PG	32.1	FA	14.8	41	188	0.08	-0.15	366.5	0	2	52	19		frag · fa · GPp<map
2769	Bogoljub Marković	SF/PF	–	MIL	11.5	47	145	0.05	-0.16		15	0	38	19		nopool · '25 rookie
2474	Jaylen Clark	PG/SG	25.0	MIN	8.6	70	63	0.04	-0.14	833.75	10	31	12	19		rot0
1280	Kevon Looney	SF/PF	30.6	LAL	16.0	32	69	0.09	-0.12	304.5	36	0	14	18		frag · GPp<map
2477	Rayan Rupert	SG/SF	22.3	PHI	11.6	26	31	0.06	-0.15	785.5	21	28	2	18		rot0 · GPp<map
2313	Tyrese Martin	SF/PF	27.6	PHI	9.2	48	116	0.03	-0.14	587	5	16	29	18		miss · rot1 · GPp<map
2073	Killian Hayes	PG/SG	25.2	FA	8.2	40	184	0.02	-0.17	331	0	0	51	18		frag · fa · GPp<map
2433	Marcus Sasser	PG/SG	26.0	DAL	7.8	62	151	0.03	-0.15	394	5	3	40	17		rot1
2314	Bryce McGowens	PG/SG	23.9	NOP	11.4	44	0	0.05	-0.15	808.5	15	30	0	16		rot0 · GPp<map
1712	Svi Mykhailiuk	SG/SF	29.3	UTA	10.8	44	0	0.05	-0.16	826.75	15	31	0	16		rot1 · GPp<map
2467	Jordan Hawkins	PG/SG	24.4	MEM	9.8	40	116	0.04	-0.16	438.25	10	6	29	16		rot1 · GPp<map
2041	Josh Green	PG/SG	25.9	UTA	9.2	59	87	0.04	-0.16	562	10	14	20	16		
1447	Buddy Hield	PG/SG	33.8	CHA	9.1	44	73	0.03	-0.18	720	5	24	15	16		GPp<map
2737	Liam McNeeley	SF/PF	21.0	CHA	10.3	44	126	0.04	-0.17	262.75	10	0	32	15		rot0 · '25 rookie
2788	Micah Peavy	SG/SF	25.2	MEM	8.3	54	89	0.03	-0.16	609.25	5	17	21	15		rot0 · '25 rookie
2030	Cole Anthony	PG/SG	26.4	FA	8.7	45	125	0.03	-0.17	511.75	0	11	32	15		fa
2781	Adou Thiero	PG/SG	22.4	LAL	4.5	62	152	0.02	-0.15	111.75	0	0	41	15		frag · rot0 · noproj · '25 rookie
2853	Tyler Bilodeau	SF/PF	22.4	BKN	0.0	16	156	0.00	-0.19		0	0	42	15		noproj · '26 class
2906	Jaron Pierre	PG/SG	24.2	NOP	0.0	16	157	0.00	-0.19		0	0	42	15		noproj · '26 class
1468	Dorian Finney-Smith	SF/PF	33.4	ATL	13.4	40	74	0.06	-0.12	329.75	21	0	16	13		GPp<map
1930	Caleb Martin	SF/PF	31.0	DAL	11.5	46	36	0.05	-0.14	614.25	15	17	4	13		GPp<map
