#,Player,Position,Team,DOB,Age,Prev. Rank, +/- Change,Notes/Outlook (Updated 7/10/2026)
1,Victor Wembanyama,PF/C,SAS,2004-01-04,22.56440602,1,0,It's only Year 3 of Wemby and he's already reached the Finals and was an MVP finalist. Unreal talent and the obvious 1.01 for a long time to come.
2,Shai Gilgeous-Alexander,PG/SG,OKC,1998-07-12,28.04657534,3,1,More of the same from SGA as the two-time MVP. We know what to expect out of an elite performer and a unanimous top 2-3 dynasty pick in all formats.
3,Luka Doncic,PG/SG,LAL,1999-02-28,27.41369863,2,-1,Luka has continued to dominate in the fantasy department. He's beginning to enter his prime with LeBron out the door.
4,Nikola Jokic,C,DEN,1995-02-19,31.43835616,4,0,Jokic is still dominating at a high level. He's 31 now but his game will age like fine wine. Averaging anything close to a triple double is par for the course at this point.
5,Cooper Flagg,SF/PF,DAL,2006-12-21,19.60273973,5,0,Flagg has looked as advertised despite some normal rookie struggles and he'll keep getting better quickly. Expect him to remain a consensus top 5-10 player.
6,Cade Cunningham,PG/SG,DET,2001-09-25,24.84109589,6,0,Cade Cunningham was awesome this past year and stayed firmly in the mix in the MVP race. Arguably the best guard in the East.
,TIER BREAK,,,,,,,
7,Jayson Tatum,SF/PF,BOS,1998-03-03,28.40547945,10,3,Tatum should be back to 100% coming into this season. Expect massive numbers with Jaylen Brown gone.
8,Anthony Edwards,SG/SF,MIN,2001-08-05,24.98082192,9,1,Ant gets himself a co-star with LaMelo Ball to run things with. Expect more of the same moving forward. 
9,Jalen Johnson,SF/PF,ATL,2001-12-18,24.6109589,8,-1,Jalen Johnson came into his own this year as a fantasy performer. He remains the main man for Atlanta.
10,Tyrese Maxey,PG/SG,PHI,2000-11-04,25.73107269,7,-3,"Maxey has been stepping up as an elite fantasy player, but with the addition of Jaylen Brown and pending Joel Embiid's health, this will eat into his touches a bit."
11,1.01 / Cameron Boozer,PF/C,MEM,2007-07-18,19.03013699,14,3,Don't overthink this one. Boozer is a blue chip talent and a clear top 10-15 dynasty asset from Day 1.
12,Scottie Barnes,SF/PF,TOR,2001-08-01,24.99178082,15,3,"Scottie Barnes has been fantastic for Toronto this year and continues posting a steady, well-rounded fantasy game. Him and Kawhi should mesh real well."
13,Tyrese Haliburton,PG/SG,IND,2000-02-29,26.41140055,13,0,"I'm fully expecting to push Haliburton back into the top 10 this next season, just as I have with Tatum. We'll see when he's healthy. We know the ceiling when he's rolling."
,TIER BREAK,,,,,,,
14,Alperen Sengun,C,HOU,2002-07-25,24.0109589,11,-3,"Sengun was pretty disappointing in the playoffs. Lots of upside here, especially in the fantasy department. His value feels a bit fluid moving forward."
15,1.02 / AJ Dybantsa,SG/SF,WAS,2007-01-29,19.49589041,16,1,"For some, Dybantsa will be their 1.01. He's a real star talent, but there are questions needing answered in the fantasy department."
16,Giannis Antetokounmpo,PF/C,MIL -> MIA,1994-12-06,31.64383562,12,-4,Very little change here for Giannis as he heads over to the 305. He remains the clearcut best player for Miami and will continue delivering elite numbers.
17,1.03 / Darryn Peterson,PG/SG,UTA,2007-01-17,19.52876712,20,3,"Peterson goes where we expected in Utah, where he will commend a clear starting role from Day 1. Will the playmaking return to his HS levels?"
18,Amen Thompson,PG/SG/SF,HOU,2003-01-30,23.49315068,17,-1,"Frankly, I've been a little disappointed by Amen Thompson relative to the expectations coming in. Still an elite player and asset to hold onto, though."
19,Evan Mobley,PF/C,CLE,2001-06-18,25.11232877,19,0,I still believe in Evan Mobley and have hope for more here. This is a crucial year to show it if LeBron comes home for one last hurrah.
20,Dylan Harper,PG/SG,SAS,2006-03-02,20.40821918,29,9,Harper has already been flashing plenty of star potential so far. He and Castle are the future alongside Wemby. He may need a little longer to be fully unleashed.
,TIER BREAK,,,,,,,
21,Jalen Williams,SG/SF/PF,OKC,2001-04-14,25.29041096,26,5,"JDub underwhelmed this year compared to last year's big jump, only playing 33 games and never looking 100%. I'm buying if he's valued for less than top 25 prices."
22,Kon Knueppel,SG/SF,CHA,2005-08-03,20.98630137,34,12,Kon is the big benefactor of LaMelo Ball's departure. Expect the numbers to go up and the on-ball reps to send him to the moon.
23,Paolo Banchero,SF/PF,ORL,2002-11-12,23.70958904,22,-1,Paolo has still yet to flash a more fantasy-friendly game for categories. This is a crucial year for him and Orlando to make a splash.
24,Josh Giddey,PG/SG/SF,CHI,2002-10-10,23.8,23,-1,"I'm still not the biggest fan of the Giddler, but I can't deny that he's been great for fantasy and this all feels sustainable. "
25,Donovan Mitchell,PG/SG,CLE,1996-09-07,29.88954263,25,0,"An ECF sweep will prompt normal doom and gloom, but Spida is approaching 30 and there are questions if he's on the decline soon. He got a massive payday from CLE."
26,Deni Avdija,SF/PF,POR,2001-01-03,25.56712329,18,-8,"Deni and Portland are in a weird spot right now with the addition of Ja Morant, but I imagine Deni will remain in about the same spot."
