#, +/-,Tier,Player,Projected Position(s),Position Rank,NBA Team,Draft Pick,Contract Details,DOB,Class,Age,Previous Rank, +/- Change,"Notes/Outlook, Updated 7/10/2026",GP,MP,FG%,PTS,3PTA,3PTM,REB,AST,STL,BLK,TO,FT%
1,-,1,Cameron Boozer,PF,PF1,MEM,1.03,Rookie Scale,2007-07-18,FR,19.03013699,,7,"As expected, Cam Boozer is now in Memphis and has been given the keys to the franchise. Boozer turned in one of the statistical best freshmen seasons in modern NCAA history. To me, this is the clearcut ""don't overthink it"" pick at 1st overall in every league type, and if you can get him any lower, that's a massive win. He's a fantasy superstar and immediately enters the NBA as a top 15 dynasty asset. ",38,33.4,55.6,22.5,3.6,1.4,10.2,4.1,1.4,0.6,2.5,78.9
2,-,1.5,Darryn Peterson,SG/PG,SG1,UTA,1.02,Rookie Scale,2007-01-17,FR,19.52876712,18,-1,"1.02 will be a toss-up between Dybantsa and Peterson in dynasty leagues. Peterson's lingering injuries that hurt his play and lackluster playmaking at Kansas will concern some, but I remain of the opinion that he's an elite guard prospect. The playmaking will improve. I'm not worried about how loaded Utah is and I heavily buy the talent. Will Hardy will turn him into a real weapon.",24,29,43.8,20.2,6.9,2.6,4.2,1.6,1.4,0.6,1.6,82.6
3,-,1.5,AJ Dybantsa,SG/SF/PF,SF1,WAS,1.01,Rookie Scale,2007-01-29,FR,19.49589041,30,0,"Dybantsa may not have as strong of a theoretical fantasy game as Peterson or Boozer, but he is still an elite prospect all the same. He's a big-time shotmaker, slasher and scorer with all of the tools and potential to be an All-NBA player one day like the guys above him. The defense is the big point of improvement. Washington has given him the keys. ",35,34.8,51,25.5,4.2,1.4,6.8,3.7,1.1,0.3,3.1,77.4
4,-,1.5,Caleb Wilson,PF/C,PF2,CHI,1.04,Rookie Scale,2006-07-18,FR,20.03013699,53,0,"Caleb Wilson has the potential to be the best player from this class. For fantasy, the steals and blocks will be a big sell for him. He also could really get you points and rebounds on solid efficiency. There is a case to be made that you could take him over Darryn or AJ, but there's a significantly lower floor than all three of these players if they hit their low end outcomes. Caleb is a psychotic competitor who we fullyexpect to exceed his lower end outcomes. ",24,31.3,57.8,19.8,1.1,0.3,9.4,2.7,1.5,1.4,2,71.3
5,-,2,Keaton Wagler,SG/PG,SG2,LAC,1.05,Rookie Scale,2007-02-03,FR,19.48219178,,,"There are some concerns about Wagler that many believe should bump him down from a top spot, but make no mistake: This is the closest thing to an Austin Reaves or Tyrese Haliburton type of prospect we've seen. High-end shooting, playmaking and great positional size. When he bulks up more, he could be special. I love the landing spot in LAC even though I know people may be skeptical of him as a prospect.",37,33.9,44.5,17.9,5.9,2.4,5.1,4.2,0.9,0.4,1.8,79.6
6,-,2.5,Mikel Brown Jr.,PG/SG,PG2,BKN,1.06,Rookie Scale,2006-04-03,FR,20.32054795,58,0,"Mikel Brown has had a disappointing year on the whole, but I remain high on him and his range of outcomes with that combination of size, shotmaking and bounciness as a lead guard at about 6'5 in shoes. His fantasy profile off this year is sketchy and he is a polarizing prospect, but I'm willing to believe he'll shoot much better at the NBA level. He's the future for the Nets and is comfortably their best prospect.",21,29.2,41,18.2,7.6,2.6,3.3,4.7,1.2,0.1,3.1,84.4
7,-,2.5,Darius Acuff Jr.,PG/SG,PG3,SAC,1.07,Rookie Scale,2006-11-16,FR,19.69863014,,,"Acuff has been playing like a straight-up star for Arkansas. He has looked the part of a possible offensive engine and fantasy star, but can he be one in the modern NBA? The Kings are wide open, it's certainly possible and the fantasy upside is solid. The defensive concerns are massive but his size (6'2, 6'7 WS) was better than expected. He is the biggest risk-reward of this entire class.",36,35.1,48.4,23.5,5.8,2.5,3.1,6.4,0.8,0.3,2.2,80.9
8,-,2.5,Kingston Flemings,PG/SG,PG1,ATL,1.08,Rookie Scale,2007-01-30,FR,19.49315068,,,Kingston Flemings should be able to come in and be solid across the board early on in his career. There could be a real potential jump with the shooting. There could be an upside swing with the scoring given that he has an elite first step. He'll likely have some good steals and block numbers. It might take a year with CJ McCollum there but should be solid long term. ,37,31.7,47.6,16.1,2.9,1.1,4.1,5.2,1.5,0.3,1.8,84.5
9,,3,Morez Johnson Jr.,PF/C,PF4/C2,DAL,1.09,Rookie Scale,2006-01-25,SO,20.50684932,,,"Dallas went out and got one of new HC Dusty May's guys. The rate of improvement for Morez over the past few years is impressive. There's a growing offensive game and 3PT shot, a motor that never turns off, standout athleticism, and he's a high level defender. He's going to be a really good fantasy player and the IRL and fantasy upside is higher than you might think.",40,25.1,62.3,13.1,0.9,0.3,7.3,1.2,0.7,1.1,1.3,78.2
10,,2,Aday Mara,C,C1,OKC,1.12,Rookie Scale,2005-04-07,JR,21.30958904,,,"Aday Mara is going to be a hot topic in your dynasty drafts. The fantasy game is rock-solid and the overall talent is obvious, but being drafted to OKC is going to scare people off. Personally, I'm not all that concerned. You may have to be patient for the rotation to shake out, but when he gets the minutes, he's going to make an impact. I'm staying put here and trusting the talent will shine through.",40,23.4,66.8,12.1,0.3,0.1,6.8,2.4,0.4,2.6,2,56.4
