rank,player,pos,team,age,keeper_rank,keeper_value,fg_pct,ft_pct,3pm,pts,reb,ast,stl,blk,to
1,Victor Wembanyama,PF/C,SA,22.7,1,2529,0.512,0.827,1.9,25.0,11.5,3.1,1.0,3.1,2.4
2,Shai Gilgeous-Alexander,PG,OKC,28.1,3,2343,0.553,0.879,1.7,31.1,4.3,6.6,1.4,0.8,2.2
3,Luka Doncic,PG/SG,LAL,27.5,5,2270,0.476,0.780,4.0,33.5,7.7,8.3,1.6,0.5,4.0
4,Nikola Jokic,C,DEN,31.5,4,2309,0.569,0.831,1.7,27.7,12.9,10.7,1.4,0.8,3.7
5,Giannis Antetokounmpo,PF/C,MIA,31.7,24,1833,0.624,0.650,0.4,27.6,9.8,5.4,0.9,0.7,3.2
6,Cade Cunningham,PG/SG,DET,24.9,6,2270,0.461,0.812,2.0,23.9,5.5,9.9,1.4,0.8,3.7
7,Cooper Flagg,PG/SG/SF,DAL,19.7,2,2364,0.468,0.828,1.0,21.1,6.7,4.5,1.2,0.9,2.3
8,Anthony Edwards,PG/SG,MIN,25.1,7,2127,0.489,0.796,3.4,28.8,5.0,3.7,1.4,0.8,2.8
9,Tyrese Maxey,PG,PHI,25.8,8,2124,0.462,0.892,3.1,28.3,4.1,6.6,1.9,0.8,2.4
10,Scottie Barnes,SG/SF/PF/C,TOR,25.1,10,2053,0.507,0.815,0.9,18.1,7.5,5.9,1.4,1.5,2.6
11,Alperen Sengün,PF/C,HOU,24.1,17,1912,0.519,0.691,0.6,20.4,8.9,6.2,1.2,1.1,3.2
12,Cameron Boozer,PF/C,MEM,19.1,16,1918,,,,,,,,,
13,Jalen Johnson,SF/PF,ATL,24.7,9,2096,0.489,0.788,1.7,22.5,10.3,7.9,1.2,0.4,3.4
14,Jayson Tatum,SF/PF,BOS,28.5,11,2003,0.411,0.823,2.9,21.8,10.0,5.3,1.4,0.2,2.4
15,Tyrese Haliburton,PG/SG,IND,26.5,14,1936,,,,,,,,,
16,Chet Holmgren,PF/C,OKC,24.3,18,1892,0.558,0.792,1.3,17.1,8.9,1.7,0.6,1.9,1.6
17,Evan Mobley,PF/C,CLE,25.2,22,1854,0.546,0.606,1.0,18.2,9.0,3.6,0.7,1.7,1.9
18,Dylan Harper,PG/SG,SA,20.5,15,1930,0.505,0.756,0.9,11.8,3.4,3.9,0.8,0.3,1.4
