Order,Player,Position(s),College/Program,DOB,Age,DDS Big Board Spot,Notes/Outlook,,,,,,,,,,,,,,,,,
1,Cooper Flagg,SF/PF,Duke/Dallas Mavericks,2006-12-21,,1,The undisputed 1.01 of this class and comfortably the best prospect of the 2020s not named Victor Wembanyama so far. Flagg had a legendary freshman season and can stuff the statsheet like crazy. He'll be an immediate top option on offense in Dallas and a serious All-Defense-caliber player from Day 1. Cannot say enough good things about him. Hold tight if you have the 1st overall pick.,,,,,,,,,,,,,,,,,
,TIER BREAK,,,,,,,,,,,,,,,,,,,,,,,
2,Dylan Harper,PG/SG,Rutgers,2006-03-02,,2,,,,,,,,,,,,,,,,,,
3,VJ Edgecombe,PG/SG,Baylor,2005-07-30,,4,,,,,,,,,,,,,,,,,,
,TIER BREAK,,,,,,,,,,,,,,,,,,,,,,,
4,Collin Murray-Boyles,PF/C,South Carolina,2005-06-10,,10,"CMB is one of the most unique players in this draft as a tweener with a lot of juice and swing skills to command an NBA role. Extremely physical that can play above his size, super high motor, good passing feel, and potentially elite defender in the mold of a Draymond Green. There is real risk involved in ",,,,,,,,,,,,,,,,,
5,Kasparas Jakucionis,PG/SG,Illinois,2006-05-29,,8,"This whole tier is going to be a controversial one until we get to the draft. Many guys will be in the running past Flagg, Harper, and Edgecombe, and Jakucionis should comfortably be in there.",,,,,,,,,,,,,,,,,
6,Kon Knueppel,SG/SF,Duke,2005-08-03,,5,,,,,,,,,,,,,,,,,,
7,Khaman Malauch,C,Duke,2006-09-14,,13,"Malauch is your quintessential ""wait and see"" rebuild target outside the top 3. I'm not a big fan in my IRL board, but I can't deny the sheer upside with his size, mobility and defensive skill as a rim protector and perimeter player despite being so young and raw. His rawness means most of the fantasy stuff will take time, but if he hits his higher end outcome, this is easily a top 10 or higher center in the league.",,,,,,,,,,,,,,,,,
8,Derik Queen,PF/C,Maryland,2004-12-27,,7,"I've been a big Derik Queen fan for this entire cycle. The recent testing at the combine isn't turning me off by any means, but the concerns about his athleticism mixed with the defensive lapses are still very much there. I think at cost, I'm much more willing to buy in outside the top 5 and take the risk. In theory, he can be an elite fantasy player if he hits.",,,,,,,,,,,,,,,,,
,TIER BREAK,,,,,,,,,,,,,,,,,,,,,,,
9,Ace Bailey,SF/PF,Rutgers,2006-08-13,,3,"Gotta be honest: taking Ace Bailey in this draft terrifies me. I don't doubt his scoring acumen nor what his ceiling could yield, but some very serious blemishes and red flags in his game might may make him more of a points league guy that can't do much besides score. Still, I think the potential is there and he's a no-brainer top 10 pick when you consider the positives, the likely draft capital if he's going in the top 4, and how he could perform on different teams.",,,,,,,,,,,,,,,,,
10,Jeremiah Fears,PG/SG,Oklahoma,2006-10-14,,12,,,,,,,,,,,,,,,,,,
11,Tre Johnson,SG,Texas,2006-03-07,,6,,,,,,,,,,,,,,,,,,
12,Thomas Sorber,C,Georgetown,2005-12-25,,15,,,,,,,,,,,,,,,,,,
13,Egor Demin,PG/SG/SF,BYU,2006-03-03,,9,,,,,,,,,,,,,,,,,,
14,Noa Essengue,SF/PF,Ratiopharm Ulm,2006-12-18,,11,"The 2nd youngest player of this class (3 days older than Flagg). Essengue is very far from a finished product offensively, and recent French players may deter some. He's growing as a shooter, but isn't there fully. He's toolsy, but unrefined. He's a great athlete and excels at driving to the rim and drawing fouls, but he needs to get stronger. The risk is obvious, but the rewards could be very intriguing as a likely top 15 selection IRL and in dynasty.",,,,,,,,,,,,,,,,,
15,Carter Bryant,SF/PF,Arizona,,,14,"If you value identifying players conducive to winning basketball and developing role malleability, Carter Bryant is definitely for you. ",,,,,,,,,,,,,,,,,
16,Jase Richardson,PG/SG,Michigan State,,,20,,,,,,,,,,,,,,,,,,
,TIER BREAK,,,,,,,,,,,,,,,,,,,,,,,
17,Asa Newell,PF/C,Georgia,,,17,"There are some valid concerns Asa Newell is too much of a tweener to survive comfortably at the 4 or 5 until the shot comes along, and he may be undersized and underqualified to play as a rim-running 5. Still, there is real upside to squint at and buy here. ",,,,,,,,,,,,,,,,,
18,LaBaron Philon,PG/SG,Alabama,,,23,,,,,,,,,,,,,,,,,,
19,Nique Clifford,SG/SF,Colorado St.,,,16,,,,,,,,,,,,,,,,,,
20,Walter Clayton Jr.,PG/SG,Florida,,,19,,,,,,,,,,,,,,,,,,
21,Rasheer Fleming,SF/PF,St. Joe's,,,18,,,,,,,,,,,,,,,,,,
22,Noah Penda,SF/PF,Le Mans (France),,,21,,,,,,,,,,,,,,,,,,
23,Yaxel Lendeborg,PF,UAB,,,25,This year's mid-major superstar is a real fun one that stuffs the statsheets. Lendeborg is a true 4 that has plenty of juice as an all-around player,,,,,,,,,,,,,,,,,
24,Cedric Coward,SG/SF,Washington State,,,22,"Coward was on a meteoric rise due to offseason chatter and some incredible testing at the Combine. Coward has everything NBA teams want in a wing: good shooting, defense, a little bit of passing, and has an outlier skill/trait (in his case, a freakishly long 7""2.25""/+8 wingspan). Do-it-all wings are very valuable and with ideal draft capital, Coward could really ascend.",,,,,,,,,,,,,,,,,
25,Adou Theiro,SF/PF,Arkansas,,,34,,,,,,,,,,,,,,,,,,
,TIER BREAK,,,,,,,,,,,,,,,,,,,,,,,
26,Ben Saraf,PG/SG/SF,Ratiopharm Ulm,,,24,,,,,,,,,,,,,,,,,,
27,Ryan Kalkbrenner,C,Creighton,,,32,,,,,,,,,,,,,,,,,,
28,Miles Byrd,SG/SF,San Diego State,,,39,,,,,,,,,,,,,,,,,,
29,Maxime Raynaud,C,Stanford,,,33,,,,,,,,,,,,,,,,,,
30,Nolan Traore,PG/SG,St. Quentin (France),,,38,,,,,,,,,,,,,,,,,,
31,Hugo Gonzalez,SG/SF,Real Madrid (Spain),,,26,,,,,,,,,,,,,,,,,,
32,Danny Wolf,PF/C,Michigan,,,28,,,,,,,,,,,,,,,,,,
33,Johni Broome,PF/C,Auburn,,,35,,,,,,,,,,,,,,,,,,
,TIER BREAK,,,,,,,,,,,,,,,,,,,,,,,
34,Kam Jones,PG/SG,Marquette,,,29,,,,,,,,,,,,,,,,,,
35,Tahaad Pettiford,PG,Auburn,,,37,,,,,,,,,,,,,,,,,,
36,Joan Beringer,C,Cedevita Olimpija,,,31,,,,,,,,,,,,,,,,,,
37,Liam McNeeley,SF/PF,UConn,,,30,,,,,,,,,,,,,,,,,,
38,Alex Condon,PF/C,Florida,,,35,,,,,,,,,,,,,,,,,,
39,Darrion Williams,SF/PF,Texas Tech,,,42,,,,,,,,,,,,,,,,,,
40,Will Riley,SG/SF,Illinois,,,27,,,,,,,,,,,,,,,,,,
,TIER BREAK,,,,,,,,,,,,,,,,,,,,,,,
41,Drake Powell,SG/SF,North Carolina,,,40,,,,,,,,,,,,,,,,,,
42,Dink Pate,PG/SG/SF,Mex. City Capitanes (G League),,,43,"Dink Pate is one of those players who, if things break right for him, we're questioning how the heck teams let him fall into the mid-2nd round. Granted, there are those guys every year, but Pate came into the Ignite as the youngest American professional athlete ever and has shown some real juice to be a jumbo guard/wing. As a late flier, I think there's something worth looking at even if he doesn't pan out. Let's hope he learns to shoot. ",,,,,,,,,,,,,,,,,
43,Alex Toohey,SF/PF,,,,41,,,,,,,,,,,,,,,,,,
44,Javon Small,PG/SG,West Virginia,,,45,,,,,,,,,,,,,,,,,,
,Hansen Yang,C,Quigdao (China),,,55,"I can't deny that Hansen Yang is a talented prospect. Part of finding gems is identifying players with high-end skills unique to their position, and Yang's passing for a big is definitely that. Still, I think there's way more cons than pros at this stage and he's very far from ready for the NBA. He's very slow, has poor defensive instincts and will struggle badly against NBA athletes and schemes. I expect to see him in the G League for a long time to learn game speed and finding a way to be malleable.",,,,,,,,,,,,,,,,,
,Jamir Watkins,SG/SF/PF,FSU,,,,"I've been a big fan of Jamir Watkins for the last few years and looking forward to seeing him in the NBA. I like do-it-all wings in the likeness of someone like Vince Williams Jr., and I think Watkins can be that. He does a bit of everything with being a good scorer, a good secondary passer, a strong rebounder, plays very physical, and is a solid 1-4 defender. If he develops more consistency from 3, I think he can definitely be a good rotation player.",,,,,,,,,,,,,,,,,
,Chaz Lanier,SG/SF,Tennessee,,,44,,,,,,,,,,,,,,,,,,
,TIER BREAK,,,,,,,,,,,,,,,,,,,,,,,
,TIER BREAK,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,
53,Symbols I could use,,,,,,,,,,,,,,,,,,,,,,,
54,⭐️,Star potential,,,,,,,,,,,,,,,,,,,,,,
55,🥩,Raw; will take some time,,,,,,,,,,,,,,,,,,,,,,
56,📈,Rising up draft boards,,,,,,,,,,,,,,,,,,,,,,
57,📉,Falling down draft boards,,,,,,,,,,,,,,,,,,,,,,
58,🛡️,Strong defender,,,,,,,,,,,,,,,,,,,,,,
59,,High floor,,,,,,,,,,,,,,,,,,,,,,
60,,"High-ceiling, low-floor",,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,
