,#,Player,Position,Team,DOB,Age (11/21/25),Previous Rank, +/- Change,Notes/Outlook,
,1,Victor Wembanyama,PF/C,SAS,2004-01-04,22.56440602,1,0,God Emperor Wemby is currently the MVP frontrunner. The league (and your leaguemates) should be terrified he's already this good. 
,2,Shai Gilgeous-Alexander,PG/SG,OKC,1998-07-12,28.04657534,2,0,More of the same from SGA as the reigning MVP. We know what to expect out of an elite performer and a unanimous top 2-3 dynasty pick in all formats.
,3,Nikola Jokic,C,DEN,1995-02-19,31.43835616,3,0,Jokic is still dominating at a high level. He's 30 now but his game will age like fine wine. Averaging anything close to a triple double is par for the course at this point.
,4,Luka Doncic,PG/SG,LAL,1999-02-28,27.41369863,4,0,Luka continued to show why he's an absolute superstar with the Lakers. I expect a lot of sparks this year even though the Lakers' position looks rough right now.
,5,Cooper Flagg,SF/PF,DAL,2006-12-21,19.60273973,5,0,Flagg has looked as advertised despite some normal rookie struggles and he'll keep getting better quickly. Expect him to remain a consensus T10 player.
,6,Cade Cunningham,PG/SG,DET,2001-09-25,24.84109589,6,0,Cade has officially ascended last year. Hope you bought in when he was closer to 15-20 than 5. He has a winning team around him and actively makes his guys better.
,7,Tyrese Maxey,PG/SG,PHI,2000-11-04,25.73107269,7,0,Maxey has been fantastic to start the year. I had doubts about him being a winning first option guy but he's truly there right now.
,8,Anthony Edwards,SG/SF,MIN,2001-08-05,24.98082192,8,0,Ant takes yet another step up this year with KAT's departure. He's gotten better and better every year. Crazy he's doing this and won't be 24 until this summer.
,9,Jalen Johnson,SF/PF,ATL,2001-12-18,24.6109589,9,8,I can't deny Jalen Johnson any longer. He's emerged into a full-blown fantasy and IRL star this year.
,10,Jalen Williams,SG/SF/PF,OKC,2001-04-14,25.29041096,10,0,"JDub has started out slow following his return from wrist surgery. I expect he'll climb back up in time, but he remains a top 15 asset for me."
,11,Alperen Sengun,C,HOU,2002-07-25,24.0109589,11,2,"Sengun has taken another step. If he can keep on hitting 3s, this is going to do amazing things for his value. I slightly underestimated how him, Amen and KD mesh."
,12,Chet Holmgren,PF/C,OKC,2002-05-01,24.24383562,12,0,Chet continues to be awesome for fantasy purposes and is having another fantastic year.
,13,Evan Mobley,PF/C,CLE,2001-06-18,25.11232877,13,-2,"I think it's fair to say Mobley has been underwhelming to start this season. I think he'll level out well and finish as an All-Star/All-NBA player, but he's very far from an MVP."
,14,Amen Thompson,PG/SG/SF,HOU,2003-01-30,23.49315068,14,-6,"Frankly, I've been a little disappointed by Amen Thompson relative to the expectations coming in. Still an elite player and asset to hold onto, though."
,15,Tyrese Haliburton,PG/SG,IND,2000-02-29,26.41140055,15,0,"Haliburton suffered a devestating Achilles injury in game 7 of the NBA finals. Like Tatum, I'm in no rush to trade him and would be buying low if anything."
,16,Jayson Tatum,SF/PF,BOS,1998-03-03,28.40547945,16,0,Tatum has already been progressing quickly through his Achilles recovery. There is a real chance he plays at the end of the year if BOS is in playoff position.
,17,Giannis Antetokounmpo,PF/C,MIL,1994-12-06,31.64383562,17,-3,"There are sure to be questions about Giannis if he gets traded, but in most situations, he will remain a top-end fantasy contributor well through the end of his prime."
,18,Cameron Boozer,PF/C,Duke,2007-07-18,19.03013699,18,7,Cam Boozer looks the part of an elite-level fantasy basketball player with how he stuffs the stat sheets. He's leaped Peterson as my 1.01 within the same tier as 1.02.
,19,Darryn Peterson,PG/SG,Kansas,2007-01-17,19.52876712,19,-1,"Peterson was my 1.01 for a bit, but that has since changed. I expect this to be a toss-up between the two in dynasty leagues a few months from now."
,20,Scottie Barnes,SF/PF,TOR,2001-08-01,24.99178082,20,4,Barnes has continued to step it up in the fantasy game this year. He's been very efficient and converting well on 3s again.
,21,Franz Wagner,SG/SF/PF,ORL,2001-08-27,24.92054795,21,-1,The entire Magic squad has struggled this year. I think they may be best suited with Wagner as their 1A.
,22,Trae Young,PG/SG,ATL,1998-09-19,27.85753425,22,0,"Trae Young has returned to the Hawks lineup. So far, they've not looked as good with him in the mix."
,23,Donovan Mitchell,PG/SG,CLE,1996-09-07,29.88954263,23,-2,Mitchell has been having a fantastic start to his season with Cleveland. Is there a chance they trade Garland at some point fairly soon?
,24,Austin Reaves,PG/SG,LAL,1998-05-29,28.16712329,24,9,"Surprisingly, Reaves has been excellent with Luka and is such a clear impactul and winning player. What a find by the Lakers."
,25,Devin Booker,SG/SF,PHO,1996-10-30,29.74473389,25,-6,Booker hasn't had the best year so far relative to his ADP and value. He may start to drop further as he's coming up on 30 stuck in the same situation in Phoenix.
,26,Jalen Brunson,PG/SG,NYK,1996-08-31,29.90866831,26,0,Brunson has seen some marginal changes with more pieces coming in. All to be expected and he's still in his absolute prime.
,27,Dylan Harper,PG/SG,SAS,2006-03-02,20.40821918,27,5,"Harper has been fantastic starting out. I think it's clear by now that he, Fox and Castle can coexist even if usage gets a little hairy."
,28,AJ Dybantsa,SG/SF,BYU,2007-01-29,19.49589041,28,2,"Dybantsa doesn't have as great of a fantasy game as Peterson or Boozer, but make no mistake: the potential here is also capital E Elite without any doubt."
,29,Deni Avdija,SF/PF,POR,2001-01-03,25.56712329,29,6,Avdija is stamped as legit and he's Portland's best player moving forward. This year will be his first All-Star appearance.
,30,LaMelo Ball,PG/SG,CHA,2001-08-22,24.93424658,30,-3,"Ball's health remains a question, and now with Kon Knueppel on the rise, it's clear that he could be on his way out as the franchise player."
,31,Josh Giddey,PG/SG/SF,CHI,2002-10-10,23.8,31,0,"I'm still not the biggest fan of the Giddler, but I can't deny that he's been great for fantasy and this all feels sustainable. "
,32,Paolo Banchero,SF/PF,ORL,2002-11-12,23.70958904,32,-4,"I realize that this might be an overreaction to drop him like this, but I'm still unimpressed by Banchero's fantasy game and he's had some real struggles this year."
,33,Karl-Anthony Towns,PF/C,MIN,1995-11-15,30.70136986,33,-10,There is a world where KAT is traded in a Giannis-esque deal. The Knicks need to win and he raises some questions there.
,34,Alex Sarr,PF/C,WAS,2005-04-26,21.25753425,34,7,Sarr has taken some massive steps this year and has a way cleaner profile for fantasy. He's playing extremely well for still being 20.
,35,Trey Murphy III,SG/SF/PF,NOP,2000-06-18,26.11085411,35,1,"After some initial struggles, Muprhy has rebounded and continues to play at a very high level."
,36,Jalen Duren,C,DET,2003-11-18,22.69315068,36,9,Duren impressed me in the playoffs after being down on him for a bit now. I think we've pretty much averted timeshares and Detroit trading for another guy by now.
,37,Darius Garland,PG/SG,CLE,2000-01-26,26.50429673,37,0,"Both Garland and Mitchell have struggled a bit in fantasy recently. Once again, injuries have been an issue and will keep Garland out for a little bit."
,38,De'Aaron Fox,PG/SG,SAS,1997-12-20,28.60547945,38,-4,"Harper and Castle are making the conversation around Fox interesting. He is still their second best player, but for how long will that hold true?"
,39,Jaren Jackson Jr.,PF/C,MEM,1999-09-15,26.86849315,39,-10,"JJJ hasn't started this season well, but I chalk that up to Memphis being a trainwreck in general. He'll be fine long-term."
,40,Jamal Murray,PG/SG,DEN,1997-02-23,29.42739726,40,6,Murray has been great so far this year with the shuffling of pieces in the frontcourt around Jokic. Could this be the year he makes an All-Star team?
,41,Bam Adebayo,PF/C,MIA,1997-07-18,29.03013699,41,-1,"Bam and Ware have found good ways to coexist. With Herro out, I expect Bam to put up strong numbers for a bit."
,42,Jaylen Brown,SG/SF,BOS,1996-10-24,29.76112733,42,-4,Jaylen Brown will see a temporary bump going forward with Jayson Tatum out for the entirety of next year. We'll get our first extended look at Brown as the leading man.
,43,Kon Knueppel,SG/SF,CHA,2005-08-03,20.98630137,43,22,"Just as we predicted, Kon has been an important piece for Charlotte and has shown a way stronger fantasy profile than others thought."
,44,Tyler Herro,PG/SG,MIA,2000-01-20,26.52069017,44,0,Herro has had a big year despite the many Miami antics. He will miss some time to start the 2025-2026 season.
,45,Domantas Sabonis,PF/C,SAC,1996-05-03,30.23653717,45,-2,"Once again, Sabonis is chugging along as a stellar fantasy guy. He and Zach LaVine are the current, yet unideal, leaders of whatever Sacramento's post-Fox future is."
,46,Anthony Davis,PF/C,DAL,1993-03-11,33.38356164,46,-4,AD and Cooper Flagg are going to be a dangerous duo. I expect AD will have a red-hot 1st half of 2025-2026 with Kyrie recovering.
,47,VJ Edgecombe,PG/SG,PHI,2005-07-30,20.99726027,47,-8,Edgecombe is the obvious top 3 pick in dynasty at this point. He's an electric athlete and two-way player that has the juice to be a great player in Philly.
,48,Desmond Bane,SG/SF,ORL,1998-06-25,28.09315068,48,3,Orlando shocked the world by landing Bane. I really like the deal for ORL and don't think it's too big of a decrease for Bane. 
,49,Lauri Markkanen,SF/PF,UTA,1997-05-22,29.18630137,49,0,I'm not terribly worried about Lauri despite a down season and his worst one in Utah to date. He's still going to be a good player long-term and was great at EuroBasket.
,50,Kevin Durant,SF/PF,HOU,1988-09-29,37.82943334,50,-3,KD is the very obvious best player on a team for the first time in a while and has a few more years of very high-end production. Things will look interesting with FVV out.
,51,James Harden,PG/SG,LAC,1989-08-26,36.92328767,51,1,Harden had his best scoring season in years. He's still got plenty of gas left in the tank with the Clippers.
