Pick,Estimated Value,Who I Might Take (9Cat),Who I Might Take (Points)
1.01,Top 10-15,Cameron Boozer,Cameron Boozer
1.02,Top 15-25,Darryn Peterson,AJ Dybantsa
1.03,Top 15-25,AJ Dybantsa,Darryn Peterson
1.04,Top 25-35,Caleb Wilson,Caleb Wilson
1.05,Top 50-70,Keaton Wagler,Darius Acuff Jr.
1.06,Top 50-70,Mikel Brown Jr.,Keaton Wagler
1.07,Top 50-70,Darius Acuff Jr.,Mikel Brown Jr.
1.08,Top 75-90,Kingston Flemings,Kingston Flemings
1.09,Top 80-100,Morez Johnson Jr.,Brayden Burries
1.10,Top 100-125,Aday Mara,Yaxel Lendeborg
1.11,Top 100-125,Brayden Burries,Aday Mara
1.12,Top 100-125,Yaxel Lendeborg,Morez Johnson Jr.
1.13,Top 120-150,Ebuka Okorie,Ebuka Okorie
1.14,Top 120-150,Dailyn Swain,Hannes Steinbach
1.15,Top 120-150,Hannes Steinbach,Bennett Stirtz
1.16,Top 140-180,Bennett Stirtz,Dailyn Swain
1.17,Top 150-180,Christian Anderson Jr.,Cameron Carr
1.18,Top 150-180,Cameron Carr,Christian Anderson Jr.
1.19,Top 170-200,Allen Graves,LaBaron Philon
1.20,Top 170-200,LaBaron Philon,Nate Ament
1.21,Top 170-200,Nate Ament,Karim Lopez
1.22,Top 170-200,Karim Lopez,Tarris Reed Jr.
1.23,Top 170-200,Sergio De Larrea,Allen Graves
1.24,Top 170-200,Jayden Quaintance,Bruce Thornton
1.25,Top 200-230,Tarris Reed Jr.,Sergio De Larrea
1.26,Top 200-230,Koa Peat,Zuby Ejiofor
1.27,Top 200-230,Bruce Thornton,Koa Peat
1.28,Top 200-230,Chris Cenac Jr.,Meleek Thomas
1.29,Top 200-230,Zuby Ejiofor,Chris Cenac Jr.
1.30,Top 200-230,Baba Miller,Jayden Quaintance
2.01,Top 250-300,Joshua Jefferson,Joshua Jefferson
2.02,Top 250-300,Meleek Thomas,Isaiah Evans
2.03,Top 250-300,Richie Saunders,Richie Saunders
2.04,Top 250-300,Alex Karaban,Alex Karaban
2.05,Top 250-300,Henri Veesaar,Ryan Conwell
2.06,Top 250-300,Ryan Conwell,Henri Veesaar
2.07,Top 250-300,Isaiah Evans,Baba Miller
2.08,Top 250-300,Emanuel Sharp,Ja'Kobi Gillespie
2.09,Top 250-300,Ugonna Onyenso,Emanuel Sharp
2.10,Top 250-300,Braden Smith,Braden Smith
2.11,Top 300-350,Izaiyah Nelson,Nick Martinelli
2.12,Top 300-350,Ja'Kobi Gillespie,Jaden Bradley
2.13,Top 300-350,Dillon Mitchell,Trevon Brazile
2.14,Top 300-350,Trevon Brazile,Ugonna Onyenso
2.15,Top 300-350,Jaden Bradley,Dillon Mitchell
2.16,Top 300-350,Nick Martinelli,Izaiyah Nelson
2.17,Top 300-350,Maliq Brown,Felix Okpara
2.18,Top 300-350,Otega Oweh,Tyler Bilodeau
2.19,Top 300-350,Bryce Hopkins,Jack Kayil
2.20,Top 300-350,Aaron Nkrumah,Otega Oweh
2.21,Top 350-450,Jack Kayil,Maliq Brown
2.22,Top 350-450,Lajae Jones,Bryce Hopkins
2.23,Top 350-450,Felix Okpara,Aaron Nkrumah
2.24,Top 350-450,Tyler Bilodeau,Tyler Nickel
2.25,Top 350-450,Tyler Nickel,Tobi Lawal
2.26,Top 350-450,Tobi Lawal,Lajae Jones
2.27,Top 350-450,Rafael Castro,Quadir Copeland
2.28,Top 350-450,Vsevolod Ishchenko,Rafael Castro
2.29,Top 350-450,Quadir Copeland,Trey Kaufman-Renn
2.30,Top 350-450,Duke Miles,Jaron Pierre Jr.
