rank,player,hashtag_id,team,pos,age,keeper_value
1,Victor Wembanyama,110399,SA,PF/C,22.6,2498
2,Cooper Flagg,120207,DAL,PG/SG/SF,19.6,2378
3,Nikola Jokic,9196,DEN,C,31.4,2336
4,Shai Gilgeous-Alexander,15208,OKC,PG,28.0,2293
5,Cade Cunningham,31030,DET,PG/SG,24.8,2247
6,Luka Doncic,15200,LAL,PG/SG,27.4,2196
7,Anthony Edwards,27638,MIN,PG/SG,25.0,2126
8,2026 Draft (Pick 1),120350,DRA,,,2116
9,Jalen Johnson,31049,ATL,SF/PF,24.6,2115
10,Tyrese Maxey,27450,PHI,PG,25.7,2111
11,Jayson Tatum,13730,BOS,SF/PF,28.4,2049
12,Scottie Barnes,31033,TOR,SG/SF/PF/C,25.0,2041
13,Dylan Harper,120208,SA,PG/SG,20.4,2004
14,Amen Thompson,111204,HOU,PG/SG/SF,23.5,1938
15,LaMelo Ball,27469,MIN,PG/SG,24.9,1926
16,Evan Mobley,31032,CLE,PF/C,25.1,1901
17,2026 Draft (Pick 2),120351,DRA,,,1896
18,Alperen Sengün,31045,HOU,PF/C,24.0,1894
19,Tyrese Haliburton,27619,IND,PG/SG,26.4,1894
20,Giannis Antetokounmpo,9325,MIA,PF/C,31.6,1858
21,Deni Avdija,27454,POR,SG/SF/PF,25.6,1830
22,Trey Murphy III,31046,NO,SG/SF/PF,26.1,1827
23,Alexandre Sarr,120000,WAS,C,21.3,1815
24,Stephon Castle,120002,SA,PG/SG,21.7,1805
25,Chet Holmgren,38617,OKC,PF/C,24.2,1805
26,VJ Edgecombe,120210,PHI,PG/SG,21.0,1801
27,Jalen Duren,38848,DET,C,22.7,1797
28,Cameron Boozer,120369,MEM,PF,19.0,1784
29,Brandon Miller,110400,CHA,SF/PF,23.7,1772
30,AJ Dybantsa,120367,WAS,SF,19.5,1769
31,Kon Knueppel,120214,CHA,SG/SF,21.0,1767
32,Paolo Banchero,38840,ORL,PF/C,23.7,1754
33,Franz Wagner,31037,ORL,SF/PF,24.9,1745
34,Jalen Williams,38949,OKC,SF/PF,25.3,1743
35,Darryn Peterson,120368,UTA,SG,19.5,1740
36,Donovan Mitchell,13741,CLE,PG/SG,29.9,1736
37,Devin Booker,9434,PHO,PG/SG,29.7,1713
38,Caleb Wilson,120370,CHI,PF,20.0,1711
39,Jalen Brunson,15280,NY,PG,29.9,1693
40,2026 Draft (Pick 3-4),120352,DRA,,,1675
41,Jaylen Brown,10090,PHI,SG/SF,29.8,1673
42,Karl-Anthony Towns,9346,NY,PF/C,30.7,1673
43,Trae Young,15202,WAS,PG,27.9,1666
44,Josh Giddey,31035,CHI,PG/SG,23.8,1662
45,Zion Williamson,16958,NO,SF/PF/C,26.1,1652
46,Austin Reaves,35041,LAL,PG/SG/SF,28.2,1610
47,Keyonte George,111212,UTA,PG/SG,22.7,1591
48,Bam Adebayo,13742,MIA,PF/C,29.0,1587
49,Jaren Jackson Jr.,15201,UTA,PF/C,26.9,1587
50,Matas Buzelis,120011,CHI,SF/PF,21.8,1582
51,Cedric Coward,120234,MEM,SG/SF,22.9,1571
52,Jamal Murray,10134,DEN,PG/SG,29.4,1569
53,Ace Bailey,120209,UTA,SG/SF/PF,20.0,1566
54,Lauri Markkanen,13734,UTA,SF/PF,29.2,1555
55,Donovan Clingan,120003,POR,C,22.4,1542
56,Derik Queen,120216,NO,PF/C,21.6,1520
57,Dyson Daniels,39833,ATL,PG/SG/SF,23.4,1512
58,Darius Garland,17191,LAC,PG,26.5,1512
59,De'Aaron Fox,13732,SA,PG/SG,28.6,1507
60,OG Anunoby,13750,NY,SF/PF,29.0,1503
61,Onyeka Okongwu,27342,ATL,PF/C,25.6,1500
62,Jaden McDaniels,27700,MIN,SF/PF,25.8,1500
63,Ausar Thompson,111205,DET,SG/SF/PF,23.5,1500
64,2026 Draft (Pick 5-8),120353,DRA,,,1493
65,Walker Kessler,38790,LAL,C,25.0,1491
66,Michael Porter Jr.,15211,BKN,SF/PF,28.1,1482
67,Desmond Bane,27649,ORL,SG/SF,28.1,1452
68,Collin Murray-Boyles,120217,TOR,PF/C,21.1,1451
69,Zach Edey,120018,MEM,C,24.2,1447
70,Mikel Brown Jr.,120375,BKN,PG,20.3,1445
71,Stephen Curry,9218,GS,PG,38.4,1442
72,Jabari Smith Jr.,38797,HOU,SF/PF/C,23.2,1431
73,Brayden Burries,120376,MIL,SG,20.9,1431
74,Kel'el Ware,120030,MIL,PF/C,22.3,1429
75,Brandon Ingram,10149,LAC,SG/SF/PF,28.9,1426
76,Pascal Siakam,10123,IND,SF/PF/C,32.3,1425
77,James Harden,9232,CLE,PG/SG,36.9,1420
78,Tyler Herro,17295,MIL,PG/SG,26.5,1408
79,Domantas Sabonis,10113,SAC,PF/C,30.2,1406
80,Jarrett Allen,13749,CLE,C,28.3,1401
81,Scoot Henderson,111203,POR,PG,22.5,1397
82,Kingston Flemings,120373,ATL,PG,19.6,1395
83,Ayo Dosunmu,31067,MIN,PG/SG/SF,26.5,1389
84,Kyshawn George,120020,WAS,SG/SF/PF,22.6,1387
85,Ja Morant,17189,POR,PG,27.0,1385
86,Darius Acuff Jr.,120372,SAC,PG,19.7,1384
87,Ivica Zubac,10169,IND,C,29.4,1377
88,Reed Sheppard,120004,HOU,PG/SG,22.1,1374
89,Jeremiah Fears,120211,NO,PG/SG,19.8,1372
90,Kawhi Leonard,9476,TOR,SF/PF,35.1,1371
91,RJ Barrett,17181,TOR,SG/SF/PF,26.1,1369
92,Immanuel Quickley,27724,TOR,PG/SG,27.1,1369
93,Keaton Wagler,120371,LAC,SG,19.5,1368
94,Joel Embiid,9418,PHI,C,32.4,1366
95,Kevin Durant,9386,HOU,SG/SF/PF,37.8,1365
96,Devin Vassell,27644,SA,SG/SF,25.9,1364
97,Dejounte Murray,10165,NO,PG/SG,29.9,1361
98,Anthony Black,111206,ORL,PG/SG/SF,22.5,1355
99,Shaedon Sharpe,38941,POR,PG/SG/SF,23.2,1349
100,Yaxel Lendeborg,120377,GS,PF,23.8,1345
101,Mikal Bridges,15207,NY,SG/SF/PF,29.9,1343
102,Julius Randle,9282,BKN,PF/C,31.7,1337
103,Jalen Suggs,31034,ORL,PG/SG,25.2,1337
104,Naz Reid,17285,CHA,PF/C,26.9,1330
105,Hannes Steinbach,120379,CHA,C,20.2,1328
106,Coby White,17193,CHA,PG/SG,26.4,1317
107,Anthony Davis,9354,WAS,PF/C,33.4,1317
108,Josh Hart,13756,NY,SG/SF/PF,31.4,1315
109,Jalen Green,31031,PHO,PG/SG/SF,24.5,1315
110,Cason Wallace,109469,OKC,PG/SG/SF,22.7,1310
111,2026 Draft (Pick 9-14),120354,DRA,,,1310
112,Brandin Podziemski,111215,GS,PG/SG,23.4,1306
113,Isaiah Hartenstein,15281,OKC,C,28.2,1294
114,Egor Demin,120218,BKN,PG/SG,20.4,1293
115,Derrick White,13755,BOS,PG/SG,32.1,1289
116,Maxime Raynaud,120244,SAC,C,23.3,1287
117,Tre Johnson,120212,WAS,PG/SG/SF,20.4,1277
118,Labaron Philon Jr.,120380,PHI,PG,20.7,1275
119,Keegan Murray,38942,SAC,SF/PF,25.9,1275
120,Carter Bryant,120222,SA,SF,20.7,1270
121,Mark Williams,38835,PHO,C,24.6,1268
122,Kyrie Irving,9157,DAL,PG,34.3,1268
123,Bennedict Mathurin,38940,LAC,SG/SF,24.1,1255
124,Cameron Carr,120387,LAL,SG,21.7,1255
125,Aday Mara,120378,OKC,C,21.3,1241
126,Nicolas Claxton,17252,CHI,C,27.3,1225
127,Tari Eason,38950,HOU,SG/SF/PF,25.2,1222
128,Dereck Lively II,109470,DAL,C,22.5,1220
129,Kyle Filipowski,120014,UTA,PF/C,22.7,1217
130,LeBron James,9158,PHI,SF/PF,41.6,1213
131,Rudy Gobert,9503,MIN,C,34.1,1204
132,Ryan Conwell,120413,MIA,SG,22.1,1204
133,Morez Johnson Jr.,120389,DAL,PF,20.5,1202
135,Myles Turner,9252,MIL,C,30.3,1200
137,Moussa Diabaté,38955,CHA,C,24.5,1200
138,Santi Aldama,31059,DAL,PF/C,25.5,1198
139,Isaiah Collier,120015,UTA,PG/SG,21.8,1198
143,Dylan Cardwell,120282,SAC,PF/C,24.6,1189
144,2026 Draft (Pick 15-30),120355,DRA,,,1187
145,Ryan Kalkbrenner,120239,CHA,C,24.5,1184
146,Christian Anderson,120382,CHA,PG,20.3,1181
147,Miles Bridges,15209,PHO,SF/PF,28.4,1180
148,Oso Ighodaro,120051,PHO,C,24.1,1174
149,Andrew Nembhard,38614,IND,PG/SG,26.5,1174
150,Zaccharie Risacher,120005,DAL,SF/PF,21.3,1173
151,Christian Braun,38570,DEN,SG/SF/PF,25.3,1172
152,Jarace Walker,109468,IND,SF/PF,22.9,1169
153,Karim Lopez,120395,MEM,PF,19.3,1163
154,Jimmy Butler,9152,GS,SG/SF/PF,36.9,1162
155,Anfernee Simons,15221,PHI,PG/SG,27.1,1160
156,Tobias Harris,9212,SA,PF,34.0,1157
157,Bilal Coulibaly,109467,WAS,SG/SF,22.0,1154
158,Jayden Quaintance,120383,SA,PF,19.0,1153
159,Dailyn Swain,120388,CHI,SF,21.0,1152
160,Jaylen Wells,120079,MEM,SG/SF,22.9,1150
161,Fred VanVleet,10124,HOU,PG,32.4,1150
162,Noah Clowney,111217,BKN,PF/C,22.0,1148
163,Isaiah Stevens,120143,SAC,PG,25.7,1144
164,Jordan Miller,111244,LAC,SG/SF,26.5,1136
165,Aaron Nesmith,27883,IND,SG/SF,26.8,1136
166,Pete Nance,120193,MIL,PF,26.4,1135
167,Alex Karaban,120393,SAC,PF,23.7,1134
168,2026 Draft (Pick 31-44),120356,DRA,,,1132
169,Nate Ament,120374,MIL,SF,19.6,1132
170,Jamir Watkins,120252,WAS,SG/SF,25.1,1132
171,Tarris Reed Jr.,120408,SA,C,23.0,1131
172,Allen Graves,120396,TOR,PF,20.0,1130
173,Trevon Brazile,120411,DEN,PF,23.6,1124
174,Brandon Williams,37446,DAL,PG,26.7,1124
175,Joshua Jefferson,120392,BKN,PF,22.7,1123
176,Felix Okpara,120421,WAS,PF,22.3,1123
177,Tyrese Martin,120171,PHI,PG/SG/SF,27.4,1120
178,Isaiah Evans,120384,MIN,SG,20.6,1118
179,Malique Lewis,120402,MIL,PF,21.7,1117
180,Pat Spencer,120100,PHO,PG/SG,30.1,1116
181,Blake Hinson,120117,UTA,,26.6,1116
182,Mouhamed Gueye,111235,ATL,PF/C,23.7,1115
183,Jesse Edwards,120080,MIN,C,26.4,1115
184,Justin Champagnie,31159,WAS,SF/PF,25.1,1114
185,Josh Christopher,31053,MIA,PG/SG,24.6,1114
186,Keshad Johnson,120066,MIA,PF,25.1,1113
187,Richie Saunders,120410,MEM,SG,24.9,1113
188,Gabe McGlothan,120141,DEN,,27.4,1112
189,AJ Johnson,120037,MEM,PG/SG,23.7,1112
190,Theo Maledon,27642,FA,PG,25.1,1112
191,Deandre Ayton,15198,WAS,C,28.0,1112
192,Ty Jerome,17304,MEM,PG/SG,29.1,1112
193,Juan Toscano-Anderson,17423,FA,SF,33.3,1112
194,Kobi Simmons,13815,FA,PG,29.1,1111
195,John Collins,13737,DET,PF/C,28.8,1111
196,Robin Lopez,9378,FA,C,38.3,1111
197,Tosan Evbuomwan,120109,CHA,SF/PF,25.4,1111
198,Jaylin Galloway,120113,MIL,,23.6,1111
199,Hunter Dickinson,120277,NO,,25.7,1111
200,Ryan Nembhard,120280,ATL,PG,23.4,1111
201,Kobe Sanders,120257,LAC,SG/SF,24.2,1110
202,D.J. Carton,120092,TOR,,26.0,1110
203,Colin Castleton,120102,ORL,PF/C,26.2,1110
204,Daeqwon Plowden,120099,SAC,SF/PF,27.9,1110
205,Josh Oduro,120129,NO,,25.8,1110
206,Mac McClung,31220,CHI,PG/SG,25.6,1110
207,Adam Flagler,120086,SAC,,26.7,1110
208,Nikola Topic,120001,OKC,PG,21.0,1110
209,Tristan Thompson,9169,CLE,C,35.4,1109
210,Bruno Fernando,17327,TOR,C,28.0,1109
211,Miles Kelly,120278,DAL,,23.5,1109
212,Danny Wolf,120221,BKN,PF/C,22.2,1109
213,Tyrese Proctor,120243,CLE,,22.3,1108
214,Nique Clifford,120226,SAC,SG/SF,24.5,1108
215,Javon Small,120256,MEM,PG/SG,23.6,1108
216,Mark Sears,120272,MIL,,24.4,1108
217,Leaky Black,120111,WAS,SF/PF,27.1,1108
218,Branden Carlson,120119,POR,C,27.1,1108
219,Nate Hinton,27467,HOU,SG/SF,27.1,1108
220,Doug McDermott,9148,SAC,SF/PF,34.6,1108
221,Justin Minaya,79724,POR,SG/SF,27.3,1108
222,Jaden Ivey,38635,CHI,PG/SG,24.5,1108
223,Wendell Moore Jr.,38841,DET,SF,24.9,1108
224,Jordan Nwora,27689,FA,SF/PF,27.9,1107
225,Isaiah Todd,31060,FA,PF/C,24.8,1107
