=== JOINT DEALS (Josh) ===
label	Δw us	ΔP(title) us	Δw Josh	ΔP(title) Josh
Turner -> Bridges (baseline)	+0.49	+11.3%	-0.52	-7.0%
Coby+Turner -> Bridges (Josh counter)	-0.19	+4.1%	+0.27	-2.4%
Coby+Turner -> Bridges+Gordon	+0.34	+9.8%	-0.23	-5.4%
Coby+Turner -> Bridges+Sexton	+0.32	+12.4%	-0.31	-6.6%
Coby+Turner -> Bridges+Gillespie	+0.14	+11.8%	-0.25	-7.3%
Coby -> Bridges	+0.17	+7.8%	-0.19	-4.7%
Turner+Matkovic -> Bridges	+0.49	+11.0%	-0.44	-6.4%
Turner for Gordon+Sexton (Josh said worse)	+0.59	+8.8%	-0.71	-6.2%
Gordon+Sexton -> Turner	+0.59	+8.8%	-0.71	-6.2%
Bane -> Bridges	+0.09	+5.9%	+0.06	-2.6%
Coby+Turner -> Bridges+Porzingis	+0.19	+9.1%	-0.20	-5.4%
