=== JOINT DEALS (Josh) ===
label	Δw us	ΔP(title) us	Δw Josh	ΔP(title) Josh
Kawhi -> Bridges+Dame (swap Gordon for Dame)	+0.36	+10.4%	-0.50	-7.2%
Kawhi -> Dame+Gordon (he keeps Bridges)	+0.07	+1.0%	-0.04	-0.9%
Kawhi -> Bridges+Porzingis (no Gordon)	-0.12	+4.6%	+0.09	-3.9%
Kawhi -> Bridges+Cam (no Gordon)	-0.12	+3.1%	+0.22	-2.4%
Kawhi -> Bridges+LaVine (dump instead of Gordon)	-0.32	+3.0%	+0.16	-3.0%
Kawhi -> Bridges+Sexton+Gillespie (no Gordon)	+0.20	+11.9%	-0.64	-9.3%
Kawhi -> Bridges+Grayson+LaVine (no Gordon)	-0.25	+3.8%	-0.12	-5.1%
Kawhi -> Dame+Porzingis	-0.07	+0.5%	+0.03	-1.7%
Kawhi -> Dame+Sexton+Gillespie	+0.10	+6.0%	-0.77	-8.1%
Kawhi -> Bridges+Dame+Sexton	+0.70	+15.8%	-1.20	-10.0%
Kawhi -> Bridges+Gordon+Dame	+0.82	+14.9%	-1.00	-9.2%
Kawhi+Matkovic -> Bridges+Gordon+Porzingis	ERROR	'not on this roster: Karlo Matkovic'
Kawhi -> Bridges+Gordon+Porzingis (third, already had)	+0.33	+8.6%	-0.42	-6.7%
