=== JOINT DEALS (Josh) ===
label	Δw us	ΔP(title) us	Δw Josh	ΔP(title) Josh
Kawhi -> Bridges+Gordon (floor ref)	+0.05	+5.3%	+0.08	-3.8%
Kawhi -> Bridges+Cam+Gordon	+0.30	+7.2%	-0.31	-6.0%
Kawhi -> Bridges+Dame+Gordon	+0.82	+15.0%	-1.00	-9.2%
Kawhi -> Bridges+Porzingis (no Gordon)	-0.12	+4.6%	+0.09	-3.9%
Kawhi -> Bridges+Sexton+Gillespie (no Gordon)	+0.20	+11.9%	-0.64	-9.3%
Kawhi -> Bridges+Gordon+Grayson+LaVine	+0.25	+7.8%	-0.73	-7.6%
Kawhi -> Gordon+Sexton+Gillespie (no Bridges)	-0.11	+3.3%	-0.09	-4.9%
Kawhi+Matkovic -> Bridges+Gordon+Sexton	+0.44	+11.9%	-0.54	-7.3%
Kawhi -> Bridges+Porzingis+Sexton (no Gordon)	+0.29	+11.2%	-0.53	-7.8%
Kawhi -> Dame+Gordon+Sexton (no Bridges)	+0.41	+7.2%	-0.72	-6.6%
