=== JOINT DEALS (Josh) ===
label	Δw us	ΔP(title) us	Δw Josh	ΔP(title) Josh
Gordon+Sexton -> Coby	+0.35	+6.5%	-0.26	-3.6%
Gordon+Gillespie -> Coby	+0.21	+6.1%	-0.16	-4.0%
Gordon+Gillespie -> Turner	+0.45	+8.3%	-0.55	-6.7%
Gordon+LaVine -> Coby	+0.07	+1.6%	-0.05	-0.8%
Coby+Turner -> Bridges+Porzingis+Sexton	+0.65	+16.0%	-0.78	-8.7%
Coby+Matkovic -> Bridges+Gordon	+0.63	+12.1%	-0.58	-6.7%
Turner+Matkovic -> Bridges (no Gordon)	+0.49	+11.0%	-0.44	-6.4%
Porzingis -> Queta+Matkovic	-0.01	-0.9%	+0.16	+0.4%
Gordon+Sexton -> Queta	+0.55	+7.3%	-0.58	-5.2%
Grayson Allen+Gordon -> Coby	+0.07	+0.5%	+0.15	+0.3%
