=== JOINT DEALS (Josh) ===
label	Δw us	ΔP(title) us	Δw Josh	ΔP(title) Josh
Coby+Turner -> Bridges+Gordon+Sexton	+0.79	+16.9%	-0.82	-8.8%
Coby+Turner -> Bridges+Gordon+Gillespie	+0.63	+16.5%	-0.75	-9.3%
Coby+Turner -> Bridges+Porzingis+Gordon	+0.66	+14.0%	-0.69	-8.0%
Coby+Matkovic -> Bridges	+0.17	+7.5%	-0.07	-3.8%
Turner+Queta -> Bridges	+0.09	+6.1%	+0.01	-4.3%
Coby+Turner -> Bridges (Josh ask)	-0.19	+4.1%	+0.27	-2.4%
Coby+Turner -> Bridges+Gordon	+0.34	+9.8%	-0.23	-5.4%
Coby+Turner -> Bridges+Porzingis	+0.19	+9.1%	-0.20	-5.4%
Turner -> Bridges	+0.49	+11.3%	-0.52	-7.0%
Gordon+Sexton -> Turner	+0.59	+8.8%	-0.71	-6.2%
Turner+Matkovic -> Bridges+Gordon	+0.95	+15.8%	-1.00	-8.5%
